AGRN	MAP4K2
SLC22A23	SLC35A1
SLC22A23	AGO2
SLC22A23	PKP2
CDYL	AL162431.2
CDYL	ZNF619
CDYL	NMNAT3
CDYL	RAB30-AS1
CDYL	ASXL3
CDYL	BID
FARS2	XYLB
NRN1	AC036108.1
LY86	OLR1
AL139095.4	PIGC
AL139095.4	SLC3A1
AL139095.4	CR382287.2
TXNDC5	AC092966.1
TXNDC5	AC015813.4
EEF1E1-BLOC1S5	AL359643.3
EEF1E1-BLOC1S5	ZFP91-CNTF
MAK	NUP210L
MAK	AC007163.1
MAK	AC007383.3
MAK	CAV3
MAK	NOCT
MAK	C9orf84
MAK	ASB16
MAK	AC007192.2
MAK	NOP53-AS1
SYCP2L	FRZB
SYCP2L	AL024498.2
SYCP2L	AP003181.1
ELOVL2-AS1	ANXA13
NEDD9	AL157413.1
HIVEP1	ANKRD50
HIVEP1	LGALS4
NOL7	MPLKIP
NOL7	KRBA1
ATXN1	LRRC1
ATXN1	CHST3
ATXN1	OTUD7A
CAP2	FNDC5
CAP2	GREM2
CAP2	CGREF1
CAP2	FHL2
CAP2	FBLN7
CAP2	MYO1B
CAP2	C2orf80
CAP2	NSG2
CAP2	MRAP2
CAP2	NEUROD6
CAP2	TAC1
CAP2	ARX
CAP2	GFRA2
CAP2	SLC1A1
CAP2	GAD2
CAP2	JCAD
CAP2	SVOP
CAP2	RPH3A
CAP2	TESC
CAP2	TTC9
CAP2	PLPPR3
CAP2	MIR7-3HG
KDM1B	LINC01088
RNF144B	TRPC3
RNF144B	IRAK3
AL022068.1	AC007402.1
AL022068.1	SAMD3
MBOAT1	ACTN2
MBOAT1	ABLIM3
MBOAT1	AL158198.1
MBOAT1	COL18A1
SOX4	AC010207.1
NBAT1	CARD14
DCDC2	AC022784.6
DCDC2	CHEK1
RIPOR2	SPON1
RIPOR2	CHST9
HIST1H4C	AC005618.1
HIST1H4C	PPP1R3D
HIST1H4C	LSM14B
HIST1H4C	CFAP298
HIST1H2AC	WDR77
HIST1H2AC	PHTF1
HIST1H2AC	AC244453.3
HIST1H2AC	HIST2H2BF
HIST1H2AC	HIST1H2BD
HIST1H2AC	C7orf26
HIST1H2AC	NLGN3
HIST1H2AC	AK3
HIST1H2AC	ZSWIM3
HIST1H2AC	CCDC157
HIST1H1E	HIST2H2AC
HIST1H1E	FAM218A
HIST1H1E	GLUD2
HIST1H2BD	HIST1H2BE
HIST1H2BD	HIST1H2BJ
ZSCAN9	AC111152.2
ZBED9	TLR2
ZBED9	LINC01950
MOG	FAHD2B
MOG	TP53INP2
MOG	TP53TG5
PPP1R11	AC018647.2
PPP1R11	ZNF32
HCG18	TAS2R5
HCG18	AC022211.2
RPP21	AC009974.1
RPP21	ABHD16A
RPP21	AC090124.1
RPP21	CATSPERZ
RPP21	AC006511.4
RPP21	PGAM5
RPP21	AJ003147.2
RPP21	AC004771.4
MDC1-AS1	FO393419.2
TUBB	CCNT2-AS1
DDR1	ANKRD65
DDR1	CARD19
HLA-B	HLA-E
BAG6	RNF44
BAG6	SLC39A13
BAG6	CHMP1A
ABHD16A	AC080013.6
SAPCD1-AS1	CYP2C8
LSM2	SLC39A1
LSM2	AC027682.4
HSPA1A	METTL5
HSPA1A	HSP90AA1
HSPA1B	HSPA1A
HSPA1B	TRMO
HSPA1B	LINC01909
DXO	AMMECR1
FKBPL	NRAV
RNF5	TMEM101
HLA-DRA	CSF1R
HLA-DRA	SRGN
TAP1	PSMB9
HLA-DPA1	TMEM176B
HLA-DPA1	CD68
RXRB	DPH2
HSD17B8	AC011825.4
RPS18	ZBTB49
RPS18	FRG1
RPS18	RPS29
RPS18	HNRNPA1P48
RPS18	AC138474.1
PFDN6	AL162713.1
PHF1	TMEM240
PHF1	TNFSF9
PHF1	ZNF30-AS1
PHF1	RRP1
CUTA	MRPL24
CUTA	GRB14
CUTA	EPM2A
CUTA	PRDX5
CUTA	FIBP
CUTA	CD63
CUTA	EMC4
CUTA	NOP10
CUTA	AC087294.1
CUTA	ATP5F1D
IP6K3	PINK1-AS
HMGA1	ZFP36L2
HMGA1	DNAJB5
SMIM29	AC008467.1
SMIM29	B3GAT3
SMIM29	AC012435.2
RPS10-NUDT3	FH
RPS10-NUDT3	RHOF
RPS10-NUDT3	TEX29
PACSIN1	ALDH5A1
SNRPC	ZNF628
SCUBE3	SPDYE3
SCUBE3	AL137779.2
SCUBE3	FUT2
PPARD	RANBP3L
RPL10A	EEF1B2
RPL10A	TMEM126A
FKBP5	IKZF2
FKBP5	SLC25A48
FKBP5	IP6K3
FKBP5	NPTX2
FKBP5	KLF9
FKBP5	ZBTB16
FKBP5	PER1
FKBP5	ZNF652
FKBP5	SMARCD2
FKBP5	WIPI1
FKBP5	UHRF1
FKBP5	TBC1D10A
ETV7	AP001468.1
STK38	AC005229.4
STK38	USP51
STK38	AC025263.1
STK38	C12orf49
STK38	AC005005.3
STK38	CERK
CDKN1A	TNFRSF10B
CDKN1A	ACTA2
CCDC167	AC019257.8
KIF6	MFSD2A
KIF6	SAMD13
KIF6	LARS2-AS1
KIF6	TAPT1-AS1
KIF6	APBA2
KIF6	SPATA2L
KIF6	MAFB
DAAM2	AZIN2
DAAM2	GABPB2
DAAM2	FAM89A
DAAM2	AC016735.1
DAAM2	LMNB1
DAAM2	GPR173
AL590999.1	AL513327.2
NFYA	AC021097.1
MDFI	GNG12
CCND3	USP27X
CCND3	AC018845.3
TAF8	CASP6
TBCC	ASB6
C6orf226	PEX11B
PTK7	C3
DNPH1	DDOST
DNPH1	AC137767.1
DNPH1	MPG
DNPH1	GTSCR1
ZNF318	ZNF77
YIPF3	THEM6
POLH-AS1	CMPK2
VEGFA	AL109615.3
VEGFA	P4HA1
HSP90AB1	GEN1
HSP90AB1	PPM1M
HSP90AB1	HSPB1
HSP90AB1	FKBP4
HSP90AB1	RNASEH2B-AS1
SLC35B2	BAK1
SLC35B2	NIPSNAP3A
SLC35B2	MCRS1
RUNX2	WISP2
AL096865.1	RUNX2
RCAN2	PCYT1B
SLC25A27	PGD
SLC25A27	AL512625.1
SLC25A27	PTCH1
SLC25A27	AL031673.1
SLC25A27	ZNF101
SLC25A27	TTLL1
ADGRF5	ESYT3
TNFRSF21	ARHGEF16
TNFRSF21	AC007319.1
TNFRSF21	CHST2
TNFRSF21	RAMP3
TNFRSF21	AC009902.3
PKHD1	LRRC42
PKHD1	AL583808.1
PKHD1	HPGDS
PKHD1	LINC02428
TMEM14A	PRSS3
GSTA4	USP21
GSTA4	AL512306.3
ICK	LAYN
ELOVL5	NAMPT
LRRC1	ABCC5
LRRC1	LGI2
LRRC1	ZDHHC13
LRRC1	ZDHHC20
LRRC1	AL356020.1
AL033384.2	PRKX-AS1
AL033384.2	AC068189.1
AL033384.2	TMPRSS12
AL033384.2	TLDC2
GFRAL	AC007923.4
ZNF451-AS1	CELA2B
ZNF451-AS1	CFLAR-AS1
ZNF451-AS1	FN1
ZNF451-AS1	AC008781.1
ZNF451-AS1	AC091887.1
ZNF451-AS1	CCDC129
ZNF451-AS1	GK-AS1
ZNF451-AS1	AC105206.2
ZNF451-AS1	AP002433.1
ZNF451-AS1	IL18
ZNF451-AS1	AP000842.2
ZNF451-AS1	PLCE1
ZNF451-AS1	AL359094.1
ZNF451-AS1	AC010168.1
ZNF451-AS1	AL139021.1
ZNF451-AS1	AL139022.1
ZNF451-AS1	AC091045.1
ZNF451-AS1	AC084756.1
ZNF451-AS1	AC008731.1
ZNF451-AS1	AC126773.1
ZNF451-AS1	AC099314.1
ZNF451-AS1	AC044840.1
ZNF451-AS1	AC104365.1
ZNF451-AS1	AC110597.3
BAG2	SNRNP48
BAG2	BET1
BAG2	HMGN5
BAG2	AP003393.1
BAG2	AL157786.1
BAG2	KCNJ2
RAB23	A2M-AS1
FKBP1C	AC025419.1
PHF3	TMEM43
PHF3	MYBL1
PHF3	FAM86C1
PHF3	EMSY
PHF3	NPAT
PHF3	AC003002.2
EYS	AL356270.1
COL19A1	AL354771.1
COL19A1	AC106798.1
COL19A1	AL109933.1
COL19A1	CALCB
KCNQ5	MYT1L
KCNQ5	LINC01250
KCNQ5	COBLL1
KCNQ5	SCN3A
KCNQ5	OSBPL6
KCNQ5	AC109466.1
KCNQ5	TENM2
KCNQ5	POU6F2
KCNQ5	PRKAG2
KCNQ5	LRFN5
KCNQ5	FLRT2
EEF1A1	ADIPOR1
EEF1A1	BZW1
EEF1A1	AAMP
EEF1A1	PTMA
EEF1A1	HNRNPH2
EEF1A1	RTL8B
EEF1A1	ALDH1B1
EEF1A1	THSD4-AS1
EEF1A1	HDHD2
EEF1A1	EIF3G
AL121972.1	SMNDC1
SLC17A5	EPB41L5
SLC17A5	CCDC13-AS1
SLC17A5	ATP1B3
SLC17A5	UBE2D4
SLC17A5	DBF4
SLC17A5	AC003666.1
COX7A2	COX5B
COX7A2	CLASP1
COX7A2	NUP35
COX7A2	UQCRQ
COX7A2	TBC1D22B
COX7A2	NDUFB2
COX7A2	WWC3
COX7A2	NDUFB9
COX7A2	AL117336.3
COX7A2	AL731577.1
COX7A2	COCH
COX7A2	ALKBH1
COX7A2	KIAA0100
COX7A2	ZNF532
COX7A2	AC010642.2
HMGN3	AC011700.1
HMGN3	AC007364.1
HMGN3	ACOT1
HMGN3	UNK
HMGN3	CCDC57
HMGN3-AS1	AC137834.1
BCKDHB	DYSF
BCKDHB	BCL2L11
TPBG	CCDC24
TPBG	FJX1
UBE3D	CFAP44
UBE3D	AC027097.2
DOPEY1	ZFYVE26
PGM3	AC015961.2
SMIM8	DET1
ORC3	CASP9
ORC3	STX6
ORC3	RABIF
ORC3	PCOLCE
ORC3	MTG1
ORC3	TMEM19
ORC3	DOK4
ORC3	ZNF461
ORC3	ZNF460-AS1
PNRC1	CRIPT
GABRR1	AL357507.1
GABRR1	TCF24
RRAGD	MCF2L
RRAGD	SHMT1
AL159174.1	LINC00498
AL159174.1	STRC
LYRM2	SLC25A21
NDUFAF4	COMMD2
MMS22L	TOMM34
AL589740.1	NEGR1
AL589740.1	CRB1
AL589740.1	LINC01182
PNISR	AC092650.1
PNISR	DDX60
PNISR	Z97989.1
PNISR	TMLHE-AS1
PNISR	C9orf139
PNISR	RELA
PNISR	C10orf67
PNISR	LINC01561
PNISR	XRCC3
PNISR	AC123768.3
PNISR	TBX6
PNISR	MLKL
PNISR	PAXBP1-AS1
AL591518.1	AP002347.1
SNX3	AC007040.2
SNX3	C4orf36
SNX3	CMTR1
SNX3	DNAJB6
SNX3	GAS8
AFG1L	AC018523.2
AFG1L	SRRD
FIG4	MIR210HG
FIG4	RFLNB
TRAF3IP2-AS1	AL132671.2
TRAF3IP2-AS1	WEE1
FAM229B	BMT2
FAM229B	CNGA4
AL513123.1	IL4I1
HDAC2-AS2	EDA
NT5DC1	MAN2A1
NT5DC1	FRK
NT5DC1	SH2D3C
NT5DC1	SBF2-AS1
COL10A1	AL590999.1
COL10A1	AL590006.1
COL10A1	AL118556.1
TSPYL1	SCN2B
RSPH4A	AL445488.1
RSPH4A	ERICH6-AS1
RSPH4A	ZNF705G
RSPH4A	EMILIN2
PLN	AC011483.2
MAN1A1	SCN9A
MAN1A1	LINC00507
FABP7	VILL
TRDN-AS1	AC136777.1
TRDN-AS1	FLT1
TRDN-AS1	ZKSCAN2
NKAIN2	MOBP
NKAIN2	ISPD
NKAIN2	LINC01505
NKAIN2	CNTNAP4
RNF217-AS1	JDP2
TPD52L1	AL139220.2
TPD52L1	LYPD6
TPD52L1	RAPGEF4
TPD52L1	PASK
TPD52L1	MRAS
TPD52L1	LINC00251
TPD52L1	COL27A1
TPD52L1	NPFFR1
TPD52L1	TIGAR
TPD52L1	LINC00351
TPD52L1	COL6A1
AL590006.1	AC093110.1
AL590006.1	PEX5L-AS2
AL590006.1	AC103831.1
AL590006.1	AL133481.1
AL590006.1	BCL2L2
AL590006.1	PTCSC3
LINC01010	LAMA2
AL078590.3	AMY2B
AL078590.3	AC074286.1
AL078590.3	SP140
AL078590.3	AC034195.1
AL078590.3	PHF7
AL078590.3	AC091826.2
AL078590.3	AL078590.2
AL078590.3	CLVS1
AL078590.3	LINC00845
AL078590.3	AC025159.1
AL078590.3	AC138627.1
AL078590.3	TMEM256-PLSCR3
AL078590.3	ZNF726
AL023284.4	AC104463.2
AL023284.4	AC004918.1
AL023284.4	AC005332.6
AL023284.4	MAFG
AL023284.4	ANKLE1
AL357060.1	TNFAIP3
REPS1	BDH1
AL158850.1	LINC01076
AL158850.1	SAMSN1
HIVEP2	MON1A
HIVEP2	TMCO6
HIVEP2	CNPY4
HIVEP2	SMARCA2
HIVEP2	SLC37A4
HIVEP2	ZDHHC16
HIVEP2	MFSD13A
HIVEP2	CCDC97
LINC01277	MIR4300HG
AL023581.2	LINC02234
AL023581.2	NLRP14
AL023581.2	AL391261.2
AIG1	AC239809.3
AIG1	FMO4
AIG1	ADRA2B
AIG1	SCLT1
AIG1	AC104596.1
AIG1	AP000755.1
AIG1	METRNL
AIG1	PPP1R16B
AIG1	ZNF334
AIG1	ZNF226
AIG1	KREMEN1
AL023581.1	SFTA3
AL023581.1	AC091153.3
AL023581.1	AC004471.1
FUCA2	ASTE1
SF3B5	SUPT4H1
EPM2A	TMEM62
EPM2A	TGIF1
AL356599.1	LINC00240
ADGB	AQP1
ADGB	NTSR1
AL033504.1	ENPP3
UST	SPC25
UST	GUCY1A2
LRP11	DUSP22
LRP11	CASP2
LRP11	CLBA1
PPP1R14C	VAV1
PLEKHG1	C2CD6
PLEKHG1	AFAP1
PLEKHG1	PSORS1C1
PLEKHG1	MTHFD1L
PLEKHG1	TSPAN8
PLEKHG1	PRTG
PLEKHG1	LIPC
PLEKHG1	ACSBG1
PLEKHG1	ABCC1
PLEKHG1	SLFN5
PLEKHG1	LINC00511
MTHFD1L	CDCA7L
MTHFD1L	SKAP2
MTHFD1L	AC100768.2
AL138733.1	DKK2
AL138733.1	KIF4A
AL138733.1	LINC02137
AL138733.1	ERCC2
VIP	TAC3
VIP	CALB2
OPRM1	PIK3CD
OPRM1	ADCY1
OPRM1	AC027288.3
OPRM1	MYO16
TIAM2	SLC45A2
TIAM2	AC022893.1
TIAM2	ADAL
TIAM2	AC010531.6
CLDN20	AC012309.1
AL035634.1	AC104803.1
AL035634.1	AC122129.1
SYNJ2	TNS1
SYNJ2	TSC22D2
SYNJ2	TRIM56
SYNJ2	SMOC1
SYNJ2	SLC5A11
SYNJ2	TRIM16L
SYNJ2	EPB41L1
SYNJ2	ZNF416
SYNJ2	LIMK2
DYNLT1	UBOX5
FNDC1	TNFRSF1B
FNDC1	LINC01654
FNDC1	PAX7
FNDC1	IFNLR1
FNDC1	C1orf87
FNDC1	SELE
FNDC1	DTL
FNDC1	NID1
FNDC1	AL390860.1
FNDC1	OR2T6
FNDC1	C2orf50
FNDC1	VIT
FNDC1	AC012370.2
FNDC1	LINC01829
FNDC1	M1AP
FNDC1	FER1L5
FNDC1	LINC01965
FNDC1	CERKL
FNDC1	PPP1R1C
FNDC1	AC007383.2
FNDC1	AC010149.1
FNDC1	SPATA3
FNDC1	SCN10A
FNDC1	AC104435.2
FNDC1	ZPLD1
FNDC1	SLCO2A1
FNDC1	PLSCR2
FNDC1	AC092957.1
FNDC1	AGTR1
FNDC1	CP
FNDC1	AC068985.1
FNDC1	GPR160
FNDC1	LINC002481
FNDC1	LINC02438
FNDC1	C4orf19
FNDC1	IGFBP7-AS1
FNDC1	ASB5
FNDC1	LINC00603
FNDC1	SV2C
FNDC1	S100Z
FNDC1	BHMT2
FNDC1	AC104126.1
FNDC1	STK32A
FNDC1	AC010609.1
FNDC1	EBF1
FNDC1	LINC01847
FNDC1	BTNL9
FNDC1	RNF144B
FNDC1	ZBED9
FNDC1	HLA-DOB
FNDC1	C6orf203
FNDC1	ADGRG6
FNDC1	ADGB
FNDC1	ESR1
FNDC1	AC004485.1
FNDC1	LINC01446
FNDC1	LAMB4
FNDC1	AC009365.1
FNDC1	ATP6V0A4
FNDC1	MGAM2
FNDC1	AC074386.1
FNDC1	AC006974.1
FNDC1	AC004470.1
FNDC1	POF1B
FNDC1	NOX1
FNDC1	AC239727.1
FNDC1	SCARA5
FNDC1	AC025871.1
FNDC1	AC007991.3
FNDC1	AC064807.2
FNDC1	AL391117.1
FNDC1	C9orf135
FNDC1	AL035078.4
FNDC1	DDIAS
FNDC1	AP003059.2
FNDC1	JHY
FNDC1	TMEM45B
FNDC1	ECHDC3
FNDC1	TMEM26-AS1
FNDC1	AC005871.2
FNDC1	AC006206.2
FNDC1	AC007848.1
FNDC1	KLRC1
FNDC1	AC087241.1
FNDC1	AC024257.1
FNDC1	AC131157.1
FNDC1	AC034102.2
FNDC1	BEST3
FNDC1	PTPRQ
FNDC1	LRRIQ1
FNDC1	AC084361.1
FNDC1	LINC00934
FNDC1	LINC00349
FNDC1	LINC02327
FNDC1	DLGAP5
FNDC1	FLVCR2
FNDC1	ISM2
FNDC1	AC021439.1
FNDC1	SPTBN5
FNDC1	HDC
FNDC1	SMAD6
FNDC1	LINC02253
FNDC1	CERS3-AS1
FNDC1	AC133565.1
FNDC1	AC012174.1
FNDC1	AC025284.1
FNDC1	LINC01229
FNDC1	DNAAF1
FNDC1	AC134312.4
FNDC1	ATP2A3
FNDC1	HS3ST3A1
FNDC1	TNFRSF13B
FNDC1	SLC5A10
FNDC1	TBC1D3D
FNDC1	AC004585.1
FNDC1	ACSF2
FNDC1	LPO
FNDC1	ST6GALNAC2
FNDC1	PSMA8
FNDC1	AC022031.2
FNDC1	AC009802.1
FNDC1	BPIFB1
FNDC1	JSRP1
FNDC1	SPC24
FNDC1	PLVAP
FNDC1	PLEKHG2
FNDC1	AC008655.2
FNDC1	KLK10
FNDC1	NLRP7
FNDC1	IGLL1
FNDC1	SEC14L4
FNDC1	KDELR3
FNDC1	PDGFB
FNDC1	CLIC6
SOD2-1	AL118558.4
ACAT2	PNPLA3
PNLDC1	HYPK
CAHM	AC092803.2
CAHM	AC073195.1
CAHM	UBXN8
CAHM	AC010864.1
CAHM	GINS2
CAHM	RFX1
PRR18	AL121956.4
PRR18	LIPE
PRR18	TST
RPS6KA2	BMP8A
RPS6KA2	GALNT15
RPS6KA2	CMTM6
RPS6KA2	TRAK1
RPS6KA2	KALRN
RPS6KA2	TMEM150C
RPS6KA2	ELOVL6
RPS6KA2	ELOVL7
RPS6KA2	RTN4IP1
RPS6KA2	GTF2IRD1
RPS6KA2	MBNL3
RPS6KA2	TRPM6
RPS6KA2	HSDL2
RPS6KA2	NPDC1
RPS6KA2	SIDT2
RPS6KA2	VPS37B
RPS6KA2	GPR137C
RPS6KA2	EHD4
RPS6KA2	DUOXA1
RPS6KA2	AC027130.1
Z94721.1	MSTN
Z94721.1	ONECUT1
AFDN	CEP70
AFDN	ZNF708
KIF25-AS1	KIF25
C6orf120	RIOK2
PSMB1	PSMD6
PSMB1	CDKN2B
PRKAR1B	CYP46A1
DNAAF5	AC008875.1
ADAP1	SEMA7A
GPR146	AC093627.5
INTS1	MED16
MAD1L1	STK32C
MRM2	MKRN2
MRM2	RNF139-AS1
NUDT1	ARL16
AMZ1	SHANK2
AP5Z1	ATAD3A
AC092171.3	ALG10B
ACTB	RHOB
ACTB	SPARC
ACTB	FSCN1
ACTB	SLC10A3
ACTB	CCAR2
ACTB	TRMT61A
ACTB	AP3S2
ACTB	NAA60
ACTB	CNP
ACTB	MRPL10
ACTB	WBP2
ACTB	ACTG1
ACTB	ARHGDIA
ACTB	FKBP8
ACTB	CAPNS1
ACTB	EPN1
GRID2IP	SLC22A4
ZNF853	AL365275.1
AC004982.2	AC004982.1
ICA1	PART1
ICA1	STOX1
AC004852.2	AC005162.3
NDUFA4	ATP5IF1
NDUFA4	MDH1
NDUFA4	TMSB10
NDUFA4	GGCT
NDUFA4	SLC25A3
NDUFA4	DSTN
VWDE	OTOF
ARL4A	ATP6V0D2
ARL4A	VSIG10
ARL4A	VIPAS39
ARL4A	RORA
TSPAN13	GPR22
SNX13	ZBTB37
SNX13	DAPL1
SNX13	GUF1
SNX13	NFXL1
SNX13	HERC3
SNX13	NADK2
SNX13	MIER3
SNX13	DMTF1
SNX13	VPS11
SNX13	ARL5B
SNX13	LEMD3
SNX13	PROSER1
SNX13	CEP95
SNX13	GNA13
SNX13	AC011444.3
AC007091.1	PTH1R
ITGB8	POU3F2
LINC01162	ANKRD30A
DNAH11	LINC00115
RAPGEF5	RPGR
RAPGEF5	RBMX2
RAPGEF5	AC092794.1
RAPGEF5	MBOAT7
TOMM7	AC019129.2
TOMM7	NDOR1
IGF2BP3	PECAM1
CCDC126	AL020996.1
STK31	FAM221A
AC004485.1	ETNK2
AC004485.1	NOSTRIN
AC004485.1	AC011396.2
AC004485.1	MUC12
AC004485.1	WDFY4
AC004485.1	TRIB3
AC004485.1	PET117
AC004485.1	AC010616.2
MPP6	GSDME
CYCS	IDI1
NFE2L3	AC010333.2
JAZF1	SCMH1
JAZF1	C1orf100
JAZF1	AC017083.3
JAZF1	FRAT2
JAZF1	FBN1
JAZF1	AC068338.2
JAZF1	RCCD1
TRIL	ALDH1L1
FKBP14	C4orf33
MTURN	AC032011.1
MTURN	PMEPA1
MTURN	EHD2
AC006978.2	AL136040.1
AC006978.2	C22orf46
GARS	YARS
GARS	LRIF1
GARS	ASNS
CCDC129	AC017002.5
CCDC129	AC079760.2
CCDC129	PRR14L
PPP1R17	CENPL
PPP1R17	AC023886.1
PDE1C	NECTIN3
BBS9	BMPER
EEPD1	ATP2B4
EEPD1	DTNBP1
EEPD1	DEPDC7
EEPD1	AK7
EEPD1	SS18L1
EEPD1	AC011483.1
ANLN	HP1BP3
ANLN	CMPK1
ANLN	TMEM45A
ANLN	MAN2A1
ANLN	CCNI2
ANLN	CA3-AS1
ANLN	CUZD1
ANLN	USP31
ANLN	ADGRG1
AOAH	AC009228.1
AOAH	ZNF621
AOAH	AC244131.2
AOAH	LINC01252
AOAH	TMTC4
ELMO1	PDE4B
ELMO1	AC092910.3
ELMO1	LPP
ELMO1	MAD2L1
ELMO1	MAP3K1
ELMO1	HDAC2-AS2
ELMO1	CHD7
ELMO1	KANK1
ELMO1	KIRREL3
ELMO1	LINC00601
ELMO1	DOCK1
ELMO1	GPR135
ELMO1	AC090772.3
ELMO1	PREX1
ELMO1	FBXW9
ELMO1-AS1	AL109811.1
ELMO1-AS1	AC098484.3
ELMO1-AS1	AMPD1
ELMO1-AS1	ITPKB-AS1
ELMO1-AS1	AC016722.2
ELMO1-AS1	GGCX
ELMO1-AS1	RGPD1
ELMO1-AS1	CMTM7
ELMO1-AS1	LSAMP-AS1
ELMO1-AS1	LINC01322
ELMO1-AS1	LINC01098
ELMO1-AS1	AC079226.2
ELMO1-AS1	AC136604.2
ELMO1-AS1	HFE
ELMO1-AS1	B3GAT2
ELMO1-AS1	SPDYE1
ELMO1-AS1	SPDYE5
ELMO1-AS1	SPDYE2
ELMO1-AS1	SMO
ELMO1-AS1	C8orf34
ELMO1-AS1	LRRC19
ELMO1-AS1	AL162414.1
ELMO1-AS1	AP003110.1
ELMO1-AS1	PRSS23
ELMO1-AS1	BLNK
ELMO1-AS1	SLC18A2
ELMO1-AS1	FAM45A
ELMO1-AS1	DDX51
ELMO1-AS1	AC020661.3
ELMO1-AS1	AC025043.1
ELMO1-AS1	PDXDC1
ELMO1-AS1	AC092338.2
ELMO1-AS1	PLK1
ELMO1-AS1	AC005697.2
ELMO1-AS1	AC079336.4
ELMO1-AS1	HIGD1B
ELMO1-AS1	EPX
ELMO1-AS1	RNFT1-DT
ELMO1-AS1	AP005329.2
ELMO1-AS1	ASIP
ELMO1-AS1	ANO8
ELMO1-AS1	AC011477.4
ELMO1-AS1	DMPK
ELMO1-AS1	ZNF587
TRGC2	C18orf63
POU6F2	LINC00923
POU6F2-AS2	NR1I3
POU6F2-AS2	RBM34
POU6F2-AS2	ACOT12
POU6F2-AS2	AL158850.1
POU6F2-AS2	AL355490.2
POU6F2-AS2	ALPK3
POU6F2-AS2	TEKT1
POU6F2-AS2	THSD8
POU6F2-AS2	HORMAD2-AS1
YAE1D1	TIGD7
YAE1D1	NOMO3
YAE1D1	CHAF1B
INHBA-AS1	GAL3ST3
INHBA-AS1	CTXND1
C7orf25	AC096586.1
HECW1	CD164
HECW1	XKR4
HECW1	LRFN5
HECW1	ANKRD34C-AS1
HECW1	TTC39C
STK17A	E2F5
STK17A	AC005837.2
UBE2D4	FAM160A2
SPDYE1	EVA1A
SPDYE1	AC009950.1
SPDYE1	WRNIP1
CAMK2B	IGSF21
CAMK2B	ATP2B2
CAMK2B	PNMA3
CAMK2B	DMTN
CAMK2B	PHYHIP
CAMK2B	DNM1
CAMK2B	SYT7
CAMK2B	CHRM1
CAMK2B	OGDHL
CAMK2B	CLSTN3
CAMK2B	B4GALNT1
CAMK2B	CKMT1B
CAMK2B	CACNB1
CAMK2B	SLC12A5
CAMK2B	PDE4A
NPC1L1	GAGE10
NPC1L1	IFI27
NPC1L1	SLC25A41
NPC1L1	ZNF724
ZMIZ2	RAP1GAP
ZMIZ2	AC008966.1
ZMIZ2	OPLAH
ZMIZ2	ARFGAP1
PPIA	RPN1
PPIA	PRPS1
PPIA	ATP6V1E1
PPIA	CR381653.1
PURB	AC093297.2
PURB	ZNF121
CCM2	CTNNBIP1
CCM2	CYP39A1
ADCY1	PPARGC1B
ADCY1	LZTS1
ADCY1	AC124798.1
ADCY1	ANO3
ADCY1	CHST15
ADCY1	IQSEC3
ADCY1	MYBPC1
ADCY1	RFPL2
ADCY1	ELFN2
SUN3	WAS
ABCA13	POU5F1
GRB10	NCKAP5
COBL	AL031432.3
COBL	PAX6
COBL	WDR76
AC074351.1	AC079145.1
ELDR	AC008878.3
LANCL2	IRF1
LANCL2	CBX2
LANCL2	HOOK2
SEPT14	AC010173.1
CHCHD2	AL138831.1
CHCHD2	PSMD8
AC118758.3	OR2T12
ZNF138	NFYC-AS1
ZNF138	SPNS1
ZNF138	PRR14
ZNF138	ZNF253
AC027644.4	PTPN9
AC027644.4	PISD
AC027644.3	BEND3
AC027644.3	NTM-AS1
SBDS	SDE2
SBDS	NIFK
SBDS	EIF5AL1
SBDS	GZF1
AC006480.2	CETN3
AC006480.2	NPIPB11
AC006480.2	PDP2
AC006480.2	POLR3H
AC092100.1	PTK7
AC092100.1	AL513165.1
AUTS2	TSPAN1
AUTS2	C1orf131
AUTS2	DISC1
AUTS2	ZNF674
AUTS2	MSR1
AUTS2	PDE7A
AUTS2	PRKCQ
AUTS2	CTNNA3
AUTS2	ANO4
AUTS2	KCTD1
GALNT17	FAM153A
GALNT17	FAM153C
GALNT17	FBXO16
GALNT17	GRAMD1B
GALNT17	LINC02389
GALNT17	CELF5
NSUN5	TPRA1
MLXIPL	ASIC4
DNAJC30	HCG25
DNAJC30	AC099850.1
STX1A	RELL2
METTL27	MFSD9
ELN	HMSD
CLIP2	LSM6
CLIP2	AC004951.1
CLIP2	AC068533.4
CLIP2	SLC27A1
GTF2IRD1	SLFNL1-AS1
GTF2IRD1	C16orf74
GTF2IRD1	RHBDL3
GTF2IRD2B	GPR89B
GTF2IRD2B	AC007099.1
GTF2IRD2B	GTF2IRD2
GTF2IRD2B	AC105052.1
AC211486.5	AL451062.1
AC211486.5	KHSRP
AC211486.5	AC243964.2
TRIM73	MEMO1
TRIM73	ST3GAL5-AS1
TRIM73	TBC1D7
TRIM73	PLXNB3
TRIM73	ZNF696
TRIM73	AC026471.1
SPDYE5	SLC51A
SPDYE5	AC138123.1
SPDYE5	TESC-AS1
SPDYE5	MEIOB
SPDYE5	AC099518.2
SPDYE5	AC007493.1
RHBDD2	MLST8
SRRM3	TSPOAP1
SRRM3	HRH3
UPK3B	PCDHB11
SPDYE16	ERVMER61-1
SPDYE16	MME
